Date,Open,High,Low,Close,Volume,MarketCap
2019-06-05,29.42,31.18,29.26,31.01,464095694,4377324479
2019-06-06,30.99,32.12,30.22,31.48,416584078,4444219166
2019-06-07,31.47,32.18,31.34,31.59,342881981,4459378459
2019-06-08,31.61,32.29,31.43,32.07,428041268,4526978557
2019-06-09,32.06,32.15,30.49,30.56,336574887,4314081087
2019-06-10,30.55,32.13,30.19,32.06,459590416,4526753535
2019-06-11,32.07,32.32,31.4,32.26,393897651,4554696452
2019-06-12,32.29,34.77,32.19,34.69,547786335,4896867645
2019-06-13,34.6,36,34.35,35.14,512885462,4961350437
2019-06-14,35.13,35.27,30.94,33.08,737850145,4669574216
2019-06-15,33.06,33.96,32.37,32.83,489033316,4634207332
2019-06-16,32.83,33.38,32.12,32.4,389404410,4574470640
2019-06-17,32.39,34.2,32.38,33.92,439337220,4788373010
2019-06-18,33.93,35.11,33.88,34.34,484975596,4847896840
2019-06-19,34.36,35.68,34.36,35.29,509791358,4981687236
2019-06-20,35.3,36.99,34.51,36.73,636578809,5184819736
2019-06-21,36.69,38.89,36.34,38.82,438604247,5479856278
2019-06-22,38.81,39.57,37.54,37.8,428828573,5336399154
2019-06-23,37.83,38.34,37.03,37.13,369969675,5242513179
2019-06-24,37.13,37.63,35.94,37.43,329001838,5284712263
2019-06-25,37.39,37.39,35.77,36.01,293163090,5083488020
2019-06-26,36.01,37.73,34.35,35.7,444226052,5039726760
2019-06-27,35.73,35.83,32.76,33.82,375392572,4775062009
2019-06-28,33.87,34.77,33.38,34.55,337534352,4877576207
2019-06-29,34.59,35.53,33.28,35.36,369705514,4991980477
2019-06-30,35.4,35.4,32.44,32.44,286632252,4580083462
2019-07-01,32.44,33.93,31.69,32.92,290190904,4647821414
2019-07-02,32.92,33.46,30.88,32.01,348029977,4518919331
2019-07-03,32.03,33.09,31.8,32.67,248895676,4611850530
2019-07-04,32.69,34.31,32.38,32.89,348186707,4643731176
2019-07-05,33,33.64,32.45,32.71,232575484,4618296905
2019-07-06,32.71,33.32,32.48,32.53,187247411,4592571450
2019-07-07,32.52,33.49,32.45,33.24,198859381,4692823028
2019-07-08,33.26,34.25,33.1,33.47,257698795,4725098655
2019-07-09,33.47,33.95,32.53,32.71,210904382,4617518454
2019-07-10,32.7,32.97,30.96,31.48,270511687,4443834091
2019-07-11,31.5,31.8,28.91,29.64,251161946,4184719947
2019-07-12,29.65,32.21,29.34,31.69,417842730,4474462557
2019-07-13,31.71,32.39,30.51,31.51,273938894,4448006685
2019-07-14,31.55,31.65,28.85,28.92,299523499,4083399701
2019-07-15,28.93,29.01,27.25,28.39,384045964,3099868490
2019-07-16,28.38,29.3,25.5,25.53,439515318,2786705508
2019-07-17,25.52,27.95,24.9,27.22,572389805,2971713195
2019-07-18,27.26,29.16,26.94,28.92,711895799,4498559027
2019-07-19,28.92,29.78,28.42,29.08,483963124,4522757866
2019-07-20,29.09,31.19,29.07,30.87,367891866,4801767338
2019-07-21,30.92,31.31,29.64,30.52,285097790,4746909287
2019-07-22,30.54,32.11,29.81,30.63,416965642,4764802878
2019-07-23,30.64,30.76,29.26,29.59,324109274,4601584124
2019-07-24,29.58,29.63,28.21,29.16,265315497,4536028908
2019-07-25,29.13,29.55,28.7,29,248126220,4510942714
2019-07-26,28.99,29.15,28.54,28.98,231263489,4507327768
2019-07-27,28.98,29.36,27.58,27.89,191655093,4337238486
2019-07-28,27.9,27.93,26.97,27.84,163990878,4329390810
2019-07-29,27.81,27.88,27.04,27.2,146207597,4231107382
2019-07-30,27.22,27.23,26.59,26.94,148410035,4190517356
2019-07-31,26.96,27.76,26.94,27.64,202950576,4299743458
2019-08-01,27.62,28.82,27.57,28.77,287326494,4475300389
2019-08-02,28.78,28.78,27.82,28.04,197026849,4361013466
2019-08-03,28.08,28.43,27.74,27.89,153702445,4337897094
2019-08-04,27.88,28.07,27.36,27.56,136844756,4285994667
2019-08-05,27.54,28.33,27.5,28.01,183750146,4356875572
2019-08-06,28.04,28.43,27.35,27.64,192614971,4298737322
2019-08-07,27.64,29.61,27.44,29.35,314659493,4565682087
